FlossId,StandardName,Color
247,826,Medium Blue
248,827,Very Light Blue Green
249,828,Ultra Very Light Sky Blue
250,829,Very Dark Golden Olive
251,830,Dark Golden Olive
252,831,Medium Golden Olive
253,832,Golden Olive
254,833,Light Golden Olive
255,834,Very Light Golden Olive
256,838,Very Dark Beige Brown
257,839,Dark Beige Brown
258,840,Medium Beige Brown
259,841,Light Beige Brown
260,842,Very Light Beige Brown
261,844,Ultra Dark Beaver Gray
262,869,Very Dark Hazelnut Brown
263,890,Ultra Dark Pistachio Green
264,891,Dark Carnation
265,892,Medium Carnation
266,893,Light Carnation
267,894,Very Light Carnation
268,895,Very Dark Hunter Green
269,898,Very Dark Coffee Brown
270,899,Medium Rose
271,900,Dark Burnt Orange
272,902,Very Dark Garnet
273,904,Very Dark Parrot Green
274,905,Dark Parrot Green
275,906,Medium Parrot Green
276,907,Light Parrot Green
277,909,Very Dark Emerald Green
278,910,Dark Emerald Green
279,911,Medium Emerald Green
280,912,Light Emerald Green
281,913,Medium Nile Green
282,915,Dark Plum
283,917,Medium Plum
284,918,Dark Red Copper
285,919,Red Copper
286,920,Medium Copper
287,921,Copper
288,922,Light Copper
289,924,Very Dark Gray Green
290,926,Medium Gray Green
291,928,Very Light Gray Green
292,930,Dark Antique Blue
293,931,Medium Antique Blue
294,932,Light Antique Blue
295,934,Black Avocado Green
296,935,Dark Avocado Green
297,936,Very Dark Avocado Green
298,937,Medium Avocado Green
299,938,Ultra Dark Coffee Brown
300,939,Very Dark Navy Blue
301,943,Medium Aquamarine
302,945,Tawny
303,946,Medium Burnt Orange
304,947,Burnt Orange
305,948,Very Light Peach
306,950,Light Desert Sand
307,951,Light Tawny
308,954,Nile Green
309,955,Light Nile Green
310,956,Geranium
311,957,Pale Geranium
312,958,Dark Seagreen
313,959,Medium Seagreen
314,961,Dark Dusty Rose
315,962,Medium Dusty Rose
316,963,Ultra Very Light Dusty Rose
317,964,Light Seagreen
318,966,Medium Baby Green
319,967,Very Light Apricot
320,970,Light Pumpkin
321,971,Pumpkin
322,972,Deep Canary
323,973,Bright Canary
324,975,Dark Golden Brown
325,976,Medium Golden Brown
326,977,Light Golden Brown
327,986,Very Dark Forest Green
328,987,Dark Forest Green
329,988,Medium Forest Green
330,989,Forest Green
331,991,Dark Aquamarine
332,992,Light Aquamarine
333,993,Very Light Aquamarine
334,995,Dark Electric Blue
335,996,Medium Electric Blue
336,3011,Dark Khaki Green
337,3012,Medium Khaki Green
338,3013,Light Khaki Green
339,3021,Very Dark Brown Gray
340,3022,Medium Brown Gray
341,3023,Light Brown Gray
342,3024,Very Light Brown Gray
343,3031,Very Dark Mocha Brown
344,3032,Medium Mocha Brown
345,3033,Very Light Mocha Brown
346,3041,Medium Antique Violet
347,3042,Light Antique Violet
348,3045,Dark Yellow Beige
349,806,Medium Dark Wedgwood
350,3047,Light Yellow Beige
351,3051,Dark Green Gray
352,3052,Medium Green Gray
353,3053,Green Gray
354,3064,Desert Sand
355,3072,Very Light Beaver Gray
356,3078,Very Light Golden Yellow
357,3325,Light Baby Blue
358,3326,Light Rose
359,3328,Dark Salmon
360,3340,Medium Apricot
361,3341,Apricot
362,3345,Dark Hunter Green
363,3346,Hunter Green
364,3347,Medium Yellow Green
365,3348,Light Yellow Green
366,3350,Ultra Dark Dusty Rose
367,3354,Light Dusty Rose
368,3362,Dark Pine Green
369,3363,Medium Pine Green
370,3364,Pine Green
371,3371,Black Brown
372,3607,Light Plum
373,3608,Very Light Plum
374,3609,Ultra Light Plum
375,3685,Very Dark Mauve
376,3687,Mauve
377,3688,Medium Mauve
378,3689,Light Mauve
379,3705,Dark Melon
380,3706,Medium Melon
381,3708,Light Melon
382,3712,Medium Salmon
383,3713,Very Light Salmon
384,3716,Very Light Rose
385,3721,Dark Shell Pink
386,3722,Medium Shell Pink
387,3726,Dark Antique Mauve
388,3727,Light Antique Mauve
389,3731,Very Dark Dusty Rose
390,3733,Dusty Rose
391,3740,Dark Antique Violet
392,3743,Very Light Antique Violet
393,3746,Dark Blue Violet
394,3747,Very Light Blue Violet
395,3750,Very Dark Antique Blue
396,3752,Very Light Antique Blue
397,3753,Ultra Very Light Antique Blue
398,3755,Baby Blue
399,3756,Ultra Very Light Baby Blue
400,3760,Medium Wedgwood
401,3761,Light Sky Blue
402,3765,Very Dark Peacock Blue
403,3766,Light Peacock Blue
404,3768,Dark Gray Green
405,3770,Very Light Tawny
406,3771,Ultra Very Light Terra Cotta
407,3772,Very Dark Desert Sand
408,927,Light Gray Green
409,3773,Medium Desert Sand
410,3774,Very Light Desert Sand
411,3776,Light Mahogany
412,3777,Very Dark Terra Cotta
413,3778,Light Terra Cotta
414,3779,Very Light Rosewood
415,3781,Dark Mocha Brown
416,3782,Light Mocha Brown
417,3787,Dark Brown Gray
418,3790,Ultra Dark Beige Gray
419,3799,Very Dark Pewter Gray
420,3801,Very Dark Melon
421,3802,Very Dark Antique Mauve
422,3803,Dark Mauve
423,3804,Dark Cyclamen Pink
424,3805,Cyclamen Pink
425,3806,Light Cyclamen Pink
426,3807,Cornflower Blue
427,3808,Ultra Very Dark Turquoise
428,3809,Very Dark Turquoise
429,3810,Dark Turquoise
430,3811,Very Light Turquoise
431,3812,Very Dark Seagreen
432,3813,Light Blue Green
433,3814,Aquamarine
434,3815,Dark Celadon Green
435,3816,Celadon Green
436,3817,Light Celadon Green
437,3818,Ultra Very Dark Emerald Green
438,3819,Light Moss Green
439,3820,Dark Straw
440,3821,Straw
441,3822,Light Straw
442,3823,Ultra Pale Yellow
443,3824,Light Apricot
444,3825,Pale Pumpkin
445,3826,Golden Brown
446,3827,Pale Golden Brown
447,3828,Hazelnut Brown
448,3829,Very Dark Old Gold
449,3830,Terra Cotta
450,3831,Dark Raspberry
451,3832,Medium Raspberry
452,3833,Light Raspberry
453,3834,Dark Grape
454,3835,Medium Grape
455,3836,Light Grape
456,3837,Ultra Dark Lavender
457,3838,Dark Lavender Blue
458,3839,Medium Lavender Blue
459,3840,Light Lavender Blue
460,3841,Pale Baby Blue
461,3842,Very Dark Wedgwood
462,3843,Electric Blue
463,3844,Dark Bright Turquoise
464,3845,Medium Bright Turquoise
465,3846,Light Bright Turquoise
466,3847,Dark Teal Green
467,3046,Medium Yellow Beige
468,3848,Medium Teal Green
469,3849,Light Teal Green
470,3850,Dark Bright Green
471,3851,Light Bright Green
472,3852,Very Dark Straw
473,3853,Dark Autumn Gold
474,3854,Medium Autumn Gold
475,3855,Light Autumn Gold
476,3856,Ultra Very Light Mahogany
477,3857,Dark Rosewood
478,3858,Medium Rosewood
479,3859,Light Rosewood
480,3860,Cocoa
481,3861,Light Cocoa
482,3862,Dark Mocha Beige
483,3863,Medium Mocha Beige
484,3864,Light Mocha Beige
485,3865,Winter White
486,3866,Ultra Very Light Mocha
487,B5200,Snow White
488,ECRU,Ecru
489,BLANC,White
490,48,Variegated Baby Pink
491,51,Variegated Burnt Orange
492,52,Variegated Violet
